"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_840","40_44","ALL","CHE","359000","358100","357700","356000","352800","346600","338200","329400","320300","313100","313900","325400","340100","354500","367500","373200","373500","375000","377500","380800","384900","391700","395100","399200","403400","405100","404400","403700","403700","405400","408100","414000","425700","440200","455900","471800","486700","497900","505700","510100","512100","511400","508200","506300","505900","508000","513700","521600","531790","542542","554660","567979","587606","596383","613194","627340","637567","644733","648412","646064","638565","629506","620215.5","610401","","",""
"HFAMDB_840","40_44","ALL","TJK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189000","182700","159000","148373","131200","120800","121100","130800","148400","158800","177700","194500","202600","213300","221700","225085","237424","254688","276450","301864","326305","344122","359380","371075","378583","","","","","","","","","","",""
"HFAMDB_840","40_44","ALL","MKD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126500","131200","133800","137300","139600","142600","144500","145100","145600","146400","147070","146903","146666","147150","147428","147772","148730","149467","149078","147782","146504","146266","146373","146481","",""
"HFAMDB_840","40_44","ALL","TUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4708197.5","4635434","4682748.5","4917417","5185984","5409299","5531459",""
"HFAMDB_840","40_44","ALL","TKM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137800","133200","115100","107629","94900","89400","92300","100300","114200","133200","149100","191500","169800","181400","204800","214200","226900","241900","237153.99036044","254628.16995426","290355.05610221","306508.36266216","309184.3492954","321357","313130.27397552","316187.95461192","318477.61008679","320188.46316571","323299.29750276","318705.62639722","319161.85478072","324427.60808555","329204.39787222","","",""
"HFAMDB_840","40_44","ALL","UKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4255400","3996800","3342100","3141941","2714500","2461600","2421600","2569300","2849500","3184100","3440100","3602300","3704200","3703400","3669300","3660700","3673200","3714200","3762600","3812300","3847964","3817983","3772729","3680850","3535295","3379325","3246406","3131746","3051386","3031561","3053209","3089053","","3004561","3033894",""
"HFAMDB_840","40_44","ALL","GBR","3851300","3825900","3813200","3795100","3784400","3774300","3701600","3593000","3410300","3221100","3341100","3487200","3623300","3766100","3858300","3760800","3631100","3536800","3469200","3411400","3368400","3320900","3284900","3248000","3198500","3154700","3122800","3122700","3152800","3188100","3208600","3205642","3187946","3245014","3333760","3423271","3559935","3852054","4005352","4075102","4123561","4153650","3956040","3852675","3810546","3783224","3803515","3867512","3941999","4036114","4164761","4180446","4292643","4390745","4493828","4602780","4663075","4714031","4713523","4694015","4632052","4593638","4567284","4496269","4390476","4299364",""
"HFAMDB_840","40_44","ALL","UZB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784600","758000","655500","608019","533000","489900","494000","536400","611600","706800","758100","751400","852900","1006500","1044400","1077300","1140300","1218700","1309936","1397177","1479057","1545151","1586930","1609896","1620820","","","","1610798","1654933","1724010","1780117","1833246","1879521","",""
"HFAMDB_840","40_44","FEMALE","ALB","","","","","","","","","","","","","","","","","","","","","51000","52200","53400","54600","55800","57000","59400","61800","64200","66600","69000","69600","70200","70800","71400","63700","65100","66400","67800","68700","75400","78700","81600","85100","89500","95800","96300","98500","99000","99400","88400","106411","107564","110088","111234","108154","104654","102359","101839","101084","100201","100402","100881","99359","97596","97509",""
"HFAMDB_840","40_44","FEMALE","AND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3778","3675","3570","3545","3565","3666",""
"HFAMDB_840","40_44","FEMALE","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103900","96000","77000","71359","59000","54000","55900","62800","72500","83300","99300","107600","115300","122200","129900","137600","145200","152600","160600","173200","173551","144818","144603","141863","136534","133182","","115714","95304","","","94145","93921","93648","94173","95407"
"HFAMDB_840","40_44","FEMALE","AUT","295600","295100","291800","289800","285700","273700","252200","226100","2e+05","183300","186500","199900","233700","260800","279000","282700","277100","266800","254800","243500","233800","230200","224000","218900","214600","207700","201400","196900","195400","206700","229300","252000","267579","276718","275484","258329","239871","236014","240315","242671","249434","257768","258519","256198","255681","258312","265501","274566","282972","292263","301823","310637","319649","329730","339385","346904","351185","352418","352022","349877","344700","338857","331822","321904","311632","303982","296827"
"HFAMDB_840","40_44","FEMALE","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191700","175500","141000","129962","107200","96700","97900","110000","125900","142400","158700","171900","182700","192700","204400","210700","211900","222700","225100","307150","328300","343850","355550","362050","363300","","358550","","","","","","","","",""
"HFAMDB_840","40_44","FEMALE","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","366100","342700","293400","277612","245100","226900","228800","249800","280100","311500","347500","360400","366600","369100","375800","385700","397400","411800","418400","427249","433405","434234","428627","417937","403407","386796","371325","358273","348006","339251","337118","337005","337106","337507","338118",""
"HFAMDB_840","40_44","FEMALE","BEL","327000","323800","320900","318900","316900","310100","294400","271700","245600","227500","229000","250500","277600","306600","329100","336000","334000","331700","329100","326100","325000","325700","326600","325600","323900","316600","308300","300700","297100","295900","295200","287000","275700","272100","270100","274600","301300","309900","325300","336500","345600","349700","349700","351000","353800","358600","364502","367831","375648.5","381709","386488","390548","394814","398480.5","401749","403980","403916","401533","397445","391916","388931","388364","387685","385468","380840","374465",""
"HFAMDB_840","40_44","FEMALE","BIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114600","107900","109800","113300","120500","130600","131800","","","","","","","","","","","","","","","","","","","141944","141819","131315","","131006","",""
"HFAMDB_840","40_44","FEMALE","BGR","254200","252500","252300","257200","254800","268000","248200","223200","205300","198200","197200","215000","249200","284700","309800","323700","328600","330600","330300","327900","323100","317700","314700","315300","317400","323300","316000","311800","301600","289200","279700","274400","271300","271400","273700","284900","285000","297300","306600","318700","330500","333500","316800","313800","308900","302000","298500","297200","293900","290600","286818","274979","272038","269352","266901","263230","257465","252186","251733","255406","259144","257391.5","255193","256492","257536","",""
"HFAMDB_840","40_44","FEMALE","HRV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138500","135000","139900","140400","148700","161000","169900","169900","169800","169700","172700","154900","157600","155200","157200","150800","166904","166200","165100","162900","161027","160448","159125","157393","156249","152753","148073","140054","138535","137617","137118","137625"
"HFAMDB_840","40_44","FEMALE","CYP","","","","","","","","","","","","","","","17600","17800","16300","16800","17100","17100","17300","","","","18500","","","","","","","","","","","","","","","","","","","","","","","","","24643","25529","27095","27740","27942","28053","28079","28147","28331","28697","29225","29941","30936","32141","32538","31181","29612","29295"
"HFAMDB_840","40_44","FEMALE","CZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346600","370100","381800","398900","407700","416700","418900","414700","409900","406800","403200","396700","388200","377200","362061","345326","331670","318312","315592","323441","334148","341283","345782","346584","342947","342119","345700","355963","372647","395376","417882","436469"
"HFAMDB_840","40_44","FEMALE","DNK","155500","156500","157900","158600","158400","156900","155200","153100","151500","150100","151300","155000","156800","157400","158400","157000","153400","150800","148600","145800","143500","142600","140600","139900","138500","138700","139100","140700","143100","145500","147800","150700","154900","161400","170300","180800","191800","200500","204400","203500","2e+05","193500","186400","183800","182100","181400","182200","183500","183200","183262","184028","185179","187382","190115","194966","199914","205571","209878","210331","206630","201783","196211","193290","192394","193220","195278",""
"HFAMDB_840","40_44","FEMALE","EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56900","55900","51100","49608","46500","44500","44500","46900","50589","53875","55784","55953","54948","53782","53254","52923","52425","52280","52188","52695","52560","52330","51565","50450","49015","47185","45525","44625","44310","44395","44908","45646","45645","45485","45130",""
"HFAMDB_840","40_44","FEMALE","FIN","152500","153000","153900","154000","153100","151000","148000","144700","142300","138400","137000","140500","143300","145800","150300","152700","151300","150300","149200","148600","148200","147200","145800","143000","139300","136500","134700","134600","137100","141200","142300","145900","148500","147100","147900","154900","165100","178500","194900","207200","213800","213300","209900","206000","202300","199800","198600","197100","194261","191526","189251","187330","185975","186276","186885","186389","185532","184518","182622","178952","174364","169528","163880","157728.5","154369.5","",""
