"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_72","60_74","FEMALE","DEU","","","","","","","","","","","","25.41","24.09","23.17","21.49","20.38","19.15","18.66","17.24","14.44","14.37","15.92","15.34","15.37","15.71","14.24","13.95","13.75","13.15","12.72","13.4","11.84","12.94","13.83","13.46","12.68","13.45",""
"HFAMDB_72","60_74","FEMALE","GRC","46.21","43.81","48.96","43.15","47.16","45.69","38.03","38.71","54.24","41.72","42.34","32.9","25.43","25.27","26.68","30.11","28.56","30.93","26.05","26.23","26.54","26.99","23.85","22.79","20.13","19.9","18.35","16.59","18.38","17.71","17.87","13.16","13.62","16.36","","10.67","14.71",""
"HFAMDB_72","60_74","FEMALE","HUN","70","66.76","69.36","66.02","70.95","66.67","69.06","73.62","71.39","63.08","68.97","72.44","68.54","72.19","64.69","65.33","67.4","52.91","50.12","49.12","52.28","47.05","49.07","45.19","46.94","44.88","33.57","31.01","30.08","32.34","31.64","32.21","27.36","25.06","23.95","23.41","22.96","25.03"
"HFAMDB_72","60_74","FEMALE","ISL","","","69.45","68.27","54","31.8","23.04","15.27","31.52","20.83","23.32","29.63","44.66","40.75","28.6","14.95","33.52","8.17","25.73","34.74","8.38","22.06","22.21","28.56","36.61","22.82","43.54","19.43","0","17.93","11.68","5.53","37.77","20.74","24.93","33.86","23.34","17.71"
"HFAMDB_72","60_74","FEMALE","IRL","47.19","42.59","37.43","33.24","33.78","25.19","29.02","36.03","36.1","34.69","28.21","29.9","24.33","28.37","27.74","26.16","25.4","27.35","24.03","28.71","36.57","23.23","16.37","23.26","20.3","20.13","21.32","16.87","27.4","21.38","20.22","24.83913004","20.24","15.21","18.23","","",""
"HFAMDB_72","60_74","FEMALE","ISR","57.14","34.57","43.73","25.66","49.36","58.34","79.42","72.16","56.55","53.25","57.09","46.84","42.46","33.04","33.77","40.1","31.2","36.47","21.78","18.68","20.98","15.44","16.4","18.4","14.34","16.08","18.35","16.03","16.09","17.44","15.23","11.42","10.39","14.05","12.1","8.19","12.39",""
"HFAMDB_72","60_74","FEMALE","ITA","35.53","39.89","33.53","34.66","33.85","29.44","33.31","31.12","31.29","29.9","27.32","26.72","26.27","26.34","24.76","25.56","23.07","22.49","23.2","21.05","19.86","17.74","17.9","17.53","15.8","13.99","13.78","13.86","14.08","12.7","13.05","11.47","11.52","11.36","10.89","11.04","11.03",""
"HFAMDB_72","60_74","FEMALE","KAZ","","","43.71","41.15","","","47.02","43.46","39.7","43.63","40.11","43.94","44.56","46.84","38.47","37.72","42.48","46.62","48.65","44.26","54.52","53.86","65.82","58.55","57.22","33.88","36.71","40.23","37.52","33.9","28.23","33.25","33.14","29.86","40.65","36.77","29.56",""
"HFAMDB_72","60_74","FEMALE","KGZ","","","45.33","37.67","","","34.28","34.22","46.83","36.89","52.55","39.49","56.63","43.11","52.33","58.45","54.4","39.86","40.55","47.42","47.61","28.86","35.85","43.58","52.36","46.9","49.46","45.84","43.33","53.97","34.19","36.57","34.98","40.85","30.58","34.31","35.48",""
"HFAMDB_72","60_74","FEMALE","LVA","","58.32","55.72","56.96","44.21","42.32","60.87","40.82","44.7","51.36","47.37","54.33","54.06","53.55","74.71","85.43","71.37","56.29","55.82","60.93","59.61","58.97","63.47","63.75","66.28","59.59","71.05","79.81","56.79","50.34","36.15","38.01","41.67","39.25","37.24","35.55","30.21",""
"HFAMDB_72","60_74","FEMALE","LTU","","","59.04","44.65","","","49.38","43.96","61.38","56.64","49.26","54.33","59.26","58.6","65.96","79.86","71.59","64.57","52.67","63.11","59.48","64.27","55.26","74.21","69.81","72.8","66.79","69.35","81.58","62.79","50.36","56.99","53.39","49.82","48.81","44.49","42.01","44.39"
"HFAMDB_72","60_74","FEMALE","LUX","20.7","83.76","38.08","33.06","45.85","32.48","42.36","46.62","28.29","61.4","39.24","25.04","20.98","50.8","22.58","10.38","21.53","12.08","16.77","16.25","5.76","25.43","18.98","24.41","33.48","30.46","29.18","40.57","21.42","27.41","29.82","12.63","19.6","26.66","21.51","32.64","32.28",""
"HFAMDB_72","60_74","FEMALE","MLT","28.96","40.8","39.88","70.75","46.84","40.65","33.75","30.89","25.11","15.33","30.05","34.71","13.16","30.69","34.41","15.52","3.68","11.47","16.1","22.22","24.06","20.97","8.85","9.86","15.9","27.84","15.01","12.95","17.13","17.82","24.43","14.54","5.51","13.84","13.41","7.69","5.07",""
